Cow_BIP_number,Bison_BIP_number,Blue whale_BIP_number,Domestic yak_BIP_number,Goat_BIP_number,Sheep_BIP_number,Vaquita_BIP_number,Yarkand deer_BIP_number
1028,,616,,,787,777,
1074,,879,,,,,
1079,,,,,293,,
1080,,884,,323,295,,776
1081,,885,,324,296,,777
1091,,891,,,303,,
1102,,,,,311,,
1157,,847,,,368,,809
1162,,850,,,373,1089,
1192,,,,359,398,1106,826
1200,,,,366,406,1113,831
1202,,,,367,408,,
1233,,,,378,438,1139,846
1236,,,,,441,1140,847
1237,,,,,,,848
1298,602,1186,,,1310,,
1319,,,,,1335,,
1355,,,,,1366,,
1374,484,,,404,886,1281,
1375,,,,405,888,,
1392,,,,410,,,
1395,486,,,,,1293,
1406,,,,419,913,1302,
1442,,770,,428,1061,958,258
1452,,,,,1074,,
1456,95,795,263,,,994,264
1541,617,297,,,,,
1542,,,,457,1172,,
1575,158,,,,,,479
161,358,,,,2459,,220
1623,695,,,,,,502
1682,,,622,,,,
1684,625,,624,,,,530
1713,,1315,,,,1652,354
1845,,179,,,2074,,558
1860,,,,,2090,236,
187,,,79,,2483,969,230
1907,,,,,2131,,
192,,,,,2486,,
194,,778,82,,2487,972,
1944,,,,,,1368,
2,,,,,144,,
2004,686,976,,,2198,,954
2026,,,,,2222,1225,964
2047,518,,,641,2239,1211,977
2048,519,,,,2240,,
2059,,,,634,,,
2074,,1020,,,,,
2120,,,834,,2310,,1018
2137,426,,844,,,,
2172,195,,,,,,
2186,,1116,,660,,,
2189,,1120,,663,,,
219,289,792,,,,990,
2194,,1124,,,,,
2215,,1103,745,,,,341
2221,,,,,,,342
2225,,1133,,,,,343
2268,,,,,2551,,
230,671,,885,62,,461,
251,677,,,,,,
256,,,895,72,,431,144
27,70,,,,176,,
298,,,909,81,,445,
335,,1140,859,96,,,170
343,,,862,99,,,
344,,1146,863,100,,,173
389,87,,,,,,
392,,,,,231,,
402,,,,,237,,
431,471,,,,,895,
448,,,,,556,,
541,,577,269,,2587,,
551,,,,,2592,716,549
567,638,582,282,,2604,,552
581,,,,,798,,
627,,,,,827,,
638,,,,,834,,
651,,,,,848,,
683,61,1246,120,,872,1582,36
702,,,157,200,460,,
715,,111,,,473,143,273
733,,,,209,487,,
734,,,,,488,,
740,,,173,,498,,285
759,,118,183,220,520,152,
777,,,,,,1383,
834,,,229,,983,,
838,,,,,987,,
863,,,,,1013,,
864,,401,240,,1014,,
868,,403,242,,1016,,
895,,671,,,647,,631
902,,676,,,655,843,
924,,686,,270,,,
934,380,,,273,685,,
946,383,,,278,695,,659
962,394,,,,714,,
