Mouse BIP number,Ryukyu mouse BIP number
13,11
30,25
32,27
35,30
37,32
38,33
69,59
71,61
80,72
104,85
116,94
118,96
137,113
143,119
149,124
150,125
153,128
162,138
166,141
191,155
195,158
197,160
201,163
205,166
206,167
225,175
236,182
257,198
264,202
268,205
302,225
306,229
321,238
323,240
399,292
403,296
411,303
428,311
461,336
463,338
474,351
476,352
477,354
489,362
494,366
510,379
512,381
518,388
519,389
522,392
530,400
554,420
563,426
564,427
591,445
602,455
608,460
611,464
617,469
625,476
628,478
640,489
642,491
644,493
663,506
674,516
711,547
712,548
716,552
719,555
731,565
732,566
767,586
799,608
810,616
819,622
851,642
863,648
864,649
865,650
866,651
867,652
868,653
869,654
870,655
871,656
872,657
873,658
884,668
885,669
954,688
962,695
1013,722
1047,734
1070,746
1117,777
1143,792
1154,798
1177,814
1202,834
1217,841
1232,851
1233,852
1234,854
1237,855
1241,858
1256,864
1264,869
1265,870
1272,875
1273,876
1311,895
1380,938
1391,943
1400,950
1414,959
1421,963
1422,964
1430,967
1447,976
1451,980
1469,985
1506,1003
1545,1023
1553,1033
1575,1048
1590,1062
1597,1065
1612,1072
1635,1093
1639,1096
1640,1097
1641,1098
1642,1099
1647,1103
1677,1118
1687,1127
1689,1129
1691,1131
1692,1132
1703,1143
1729,1151
1748,1164
1765,1177
1774,1186
1778,1189
1796,1202
1873,1248
1881,1255
1893,1266
1912,1279
1931,1291
1935,1295
1936,1297
1941,1299
1942,1300
1962,1313
2005,1354
2014,1362
2025,1374
2035,1383
2038,1385
2044,1391
2047,1394
2052,1399
2061,1405
2062,1406
2079,1419
2080,1420
2087,1425
2093,1432
2094,1433
2121,1452
2125,1455
2136,1467
2137,1468
2138,1469
2139,1470
2149,1481
2171,1497
2176,1502
2185,1508
2188,1513
2191,1518
2193,1520
2212,1531
2229,1548
2257,1572
2284,1589
2285,1591
2287,1593
2289,1595
2323,1622
2335,1631
2349,1642
2365,1653
2376,1663
2386,1673
2450,1717
2457,1721
2476,1738
2513,1775
2515,1777
2522,1782
2527,1787
2552,1804
2566,1813
2572,1817
2592,1832
2593,1833
2601,1839
2603,1843
2614,1852
2618,1855
2626,1862
2635,1868
2641,1875
2645,1877
2667,1893
2695,1915
2696,1916
2698,1917
2706,1923
2707,1924
2746,1957
2773,1977
2776,1981
2782,1986
2794,1995
2800,2001
2816,2020
2820,2023
2826,2029
2833,2032
2837,2036
2844,2043
2845,2044
2857,2055
2919,2099
2925,2105
2941,2116
2950,2123
2953,2126
2976,2144
2989,2155
2991,2157
2994,2159
3005,2167
3007,2169
3029,2185
3034,2189
3043,2198
3066,2211
3070,2215
3075,2219
3076,2220
3090,2225
3121,2244
3123,2246
3127,2250
3128,2251
3149,2264
3165,2276
3170,2279
3174,2283
3175,2284
3182,2289
3188,2295
3189,2296
3199,2303
3239,2322
3240,2323
3272,2341
3291,2359
3299,2368
3313,2371
3318,2376
3319,2377
3334,2381
3388,2415
3392,2418
3393,2419
3398,2422
3399,2423
3431,2444
3442,2453
3451,2462
3481,2470
3485,2472
3489,2474
3499,2480
3505,2484
3510,2488
3514,2491
3515,2492
3521,2498
3547,2521
3555,2527
3567,2537
3578,2544
3579,2545
3601,2561
3629,2573
3632,2575
3635,2579
3653,2589
3696,2618
3730,2639
3731,2640
3732,2641
3740,2654
3755,2670
3767,2682
3787,2698
3794,2703
3801,2708
3812,2720
3827,2727
3846,2736
3886,2758
3904,2764
3915,2774
3930,2784
3933,2787
3967,2806
3970,2807
4007,2839
4008,2840
4009,2841
4015,2846
4022,2852
4027,2856
4063,2876
4099,2903
4108,2911
4141,2932
